"label","F4_130C_6.1.4_HFHS.Chow.DMBA","F4_131N_6.2.5_HFHS.Chow.DMBA","F5_131N_6.2.2_HFHS.Chow.DMBA","F6_130C_6.1.2_HFHS.Chow.DMBA","F6_131N_6.2.4_HFHS.Chow.DMBA","F4_129N_4.2.5_Lean.DMBA","F5_129N_4.1.3_Lean.DMBA","F5_129C_4.2.1_Lean.DMBA","F6_129N_4.1.5_Lean.DMBA","F6_129C_4.2.3_Lean.DMBA"
"Q546G4","4.164619","4.164619","4.164619","4.164619","4.164619","4.164619","4.164619","4.164619","3.933540","4.164619"
"P24549","3.459108","3.415047","3.505129","3.573517","3.573517","3.573517","3.505129","3.617942","3.617942","3.617942"
"Q71LX8","3.279407","3.216105","3.358784","3.487622","3.617942","3.471554","3.229712","3.536429","3.487622","3.660248"
"Q01853","3.325743","3.358784","3.444666","3.279407","3.338179","3.273499","3.311120","3.317270","3.279407","3.305929"
"B7FAV1","2.624726","2.590939","2.842922","2.970410","2.921782","2.644344","2.933274","3.027202","2.901648","2.977558"
"Q3UAF6","3.415047","3.263496","3.382194","3.660248","3.708283","3.536429","3.536429","3.933540","3.444666","3.708283"
"Q3TEK2","3.191976","3.186937","3.118128","3.331334","3.389770","3.429124","3.011436","3.372746","3.317270","3.505129"
"P63038","3.273499","3.177511","3.298835","3.263496","3.459108","3.279407","3.060164","3.237304","3.273499","3.338179"
"P20029","3.389770","3.325743","3.305929","3.406343","3.444666","3.505129","3.249334","3.415047","3.325743","3.444666"
"Q3UIJ3","2.701125","2.701125","2.710518","3.099427","2.981724","2.877427","2.812205","2.891046","2.886219","3.060164"
"P56480","3.263496","3.157498","3.237304","3.197219","3.237304","3.065572","3.191976","3.080506","3.186937","3.157498"
"P52480","3.253783","3.065572","3.080506","3.389770","3.372746","3.347017","3.401547","3.338179","3.358784","3.358784"
"Q69ZX3","2.537965","2.532859","2.819721","3.141263","2.927107","2.540373","2.914675","3.057298","2.834606","3.011436"
"Q3UBU0","2.959083","2.817060","2.953500","3.203442","3.279407","3.125750","2.992275","3.157498","3.150958","3.317270"
"P27773","3.338179","3.291027","3.273499","3.459108","3.536429","3.444666","3.244630","3.406343","3.406343","3.536429"
"Q5FW97","3.112885","2.877427","2.987444","3.536429","3.347017","3.331334","3.573517","3.389770","3.263496","3.372746"
"Q921I1","3.536429","3.298835","3.415047","3.249334","3.291027","3.216105","3.429124","3.065572","3.086645","3.071116"
"P09103","3.311120","3.317270","3.406343","3.229712","3.253783","3.229712","3.347017","3.273499","3.249334","3.197219"
"A8DUK7","3.933540","3.389770","3.429124","3.933540","3.933540","3.660248","3.708283","3.573517","4.164619","3.933540"
"Q3UWP8","3.429124","3.279407","3.347017","3.401547","3.415047","3.415047","3.291027","3.358784","3.311120","3.415047"
"P40142","3.444666","3.372746","3.487622","3.429124","3.401547","3.249334","3.389770","3.305929","3.347017","3.325743"
"P06801","3.487622","3.347017","3.249334","3.125750","3.358784","3.358784","3.022504","3.186937","3.372746","3.273499"
"E9Q616","2.794747","3.018138","3.203442","2.996127","2.894581","2.743786","3.166633","3.099427","2.894581","2.891046"
"P63101","3.244630","3.244630","3.186937","3.244630","3.249334","3.057298","3.253783","3.086645","3.197219","3.166633"
"Q5FWB7","3.071116","2.919116","3.099427","3.338179","3.317270","3.118128","3.331334","3.279407","3.291027","3.253783"
"Q3U6S1","3.317270","3.311120","3.471554","3.372746","3.429124","3.197219","3.338179","3.459108","3.298835","3.401547"
"P07901","2.682486","2.703968","2.649759","2.842922","2.826695","2.834606","2.551592","2.754083","2.757966","2.909582"
"Q6PJ18","3.229712","3.305929","3.325743","3.444666","3.099427","2.905756","3.617942","3.197219","2.977558","2.938485"
"P48678","3.049864","3.093808","3.166633","3.191976","3.057298","3.005960","3.263496","3.347017","3.125750","3.112885"
