"GENE","UniProt","FC","log2(FC)","raw.pval","-log10(p)","probe"
Kng1,"O08677",0.70274,-0.50894,0.00023022,3.6379,cg_0001
Atpif1,"E9PV44",0.55436,-0.85109,0.0013223,2.8787,cg_0002
Ptma,"Q8C2T3",0.69902,-0.51659,0.001751,2.7567,cg_0003
Hnrnpab,"Q544Z3",0.74551,-0.42371,0.0036612,2.4364,cg_0004
Prss1,"Q9Z1R9",1.7056,0.77024,0.0056426,2.2485,cg_0005
Hist2h3b,"B9EI85",0.71911,-0.47571,0.0057438,2.2408,cg_0006
Got2,"P05202",1.5094,0.59396,0.0063855,2.1948,cg_0007
Rnpep,"Q8VCT3",1.4665,0.55242,0.0065064,2.1867,cg_0008
Sod1,"P08228",0.73666,-0.44093,0.0065294,2.1851,cg_0009
Serbp1,"Q3UEI6",0.7927,-0.33516,0.0076132,2.1184,cg_0010
Gm20390,"E9PZF0",0.76935,-0.37829,0.008551,2.068,cg_0011
Tkt,"P40142",0.78908,-0.34176,0.0090823,2.0418,cg_0012
Tpm4,"Q6IRU2",0.73763,-0.43903,0.0098991,2.0044,cg_0013
Serpina1d,"Q00897",0.65483,-0.61081,0.011072,1.9558,cg_0014
Npm1,"Q5SQB7",0.66322,-0.59243,0.012475,1.904,cg_0015
Aco2,"Q99KI0",1.5527,0.63479,0.013219,1.8788,cg_0016
Psma3,"Q9DCD8",0.74446,-0.42574,0.013742,1.862,cg_0017
C3,"P01027",0.83209,-0.26519,0.016392,1.7854,cg_0018
Tmsb15l,"Q8C0W0",0.55732,-0.84343,0.018966,1.722,cg_0019
Atp5d,"Q4FK74",0.66518,-0.58819,0.020633,1.6854,cg_0020
Akr1b3,"Q3TCL2",1.5689,0.64979,0.020753,1.6829,cg_0021
Psmb6,"Q60692",0.72843,-0.45713,0.022512,1.6476,cg_0022
Txn,"P10639",0.73501,-0.44417,0.024061,1.6187,cg_0023
Ncl,"Q8CD23",0.62885,-0.66921,0.025652,1.5909,cg_0024
Zp3,"P10761",0.70671,-0.50081,0.027533,1.5601,cg_0025
Krt10,"A2A513",1.8395,0.8793,0.028015,1.5526,cg_0026
Hmgn1,"Q8CEW1",0.57689,-0.79363,0.02941,1.5315,cg_0027
Hdgf,"P51859",0.83234,-0.26476,0.03288,1.4831,cg_0028
Gm5478,"A0A2R8VHP3",2.4123,1.2704,0.033107,1.4801,cg_0029
Calm2,"P0DP27",0.70475,-0.50482,0.03398,1.4688,cg_0030
Nup37,"Q9CWU9",1.5655,0.64666,0.03421,1.4659,cg_0031
Rab11b,"Q78ZJ8",1.2284,0.29674,0.03446,1.4627,cg_0032
Akr1c14,"Q91WT7",1.4127,0.49845,0.034956,1.4565,cg_0033
Atp5f1b,"P56480",0.83099,-0.26709,0.035556,1.4491,cg_0034
Zp2,"Q3UX44",0.72456,-0.46482,0.035768,1.4465,cg_0035
Rps27a,"P62983",0.65811,-0.6036,0.036729,1.435,cg_0036
Cdkn1b,"Q4FJM2",0.31154,-1.6825,0.038341,1.4163,cg_0037
Zyx,"Q8CBM0",0.57105,-0.80831,0.040166,1.3961,cg_0038
Gstp1,"P19157",1.5326,0.61598,0.040561,1.3919,cg_0039
Sh3bgrl,"Q3U9A8",0.76978,-0.37748,0.041074,1.3864,cg_0040
Fdx1,"Q4FZG2",0.62755,-0.6722,0.044228,1.3543,cg_0041
Srsf1,"H7BX95",0.71677,-0.48041,0.045995,1.3373,cg_0042
Fus,"P56959",0.73811,-0.43808,0.048538,1.3139,cg_0043
Rpl5,"P47962",1.3928,0.47794,0.049873,1.3021,cg_0044
Hadh,"Q61425",1.5073,0.59199,0.05037,1.2978,cg_0045
Pebp1,"Q5EBQ2",0.82979,-0.26918,0.052076,1.2834,cg_0046
